Class_attendance,LA2SS,LA3SS,LA4SS,LA5SS,LA6SS,QA2SS,QA3SS,QA4SS,QA5SS,QA6SS,EC2SS,EC3SS,EC4SS,EC5SS,EC6SS,DS3S,DS4S,DS5S,DS6S,AS5S,AS6S,sessional_marks,project_marks,Logical_Ability,Quantitative_Ability,English_Comprehension,Domain_Knowledge,Automata_Programming,placement_status
95.0,335.0,385.0,-1.0,540.0,59.0,300.0,315.0,335.0,375.0,41.0,425.0,535.0,585.0,475.0,41.0,367.0,380.0,180.0,32.0,26.0,67.0,81.7,46.0,263.6,273.2,412.2,239.75,46.5,Strong Chance
80.0,470.0,380.0,450.0,555.0,60.0,415.0,405.0,380.0,320.0,48.0,390.0,375.0,470.0,385.0,36.0,313.0,380.0,-2.0,51.0,0.0,44.0,87.3,46.0,383.0,313.6,331.2,185.5,22.0,Minimal Chance
60.0,565.0,485.0,460.0,465.0,61.0,350.0,270.0,445.0,470.0,0.0,470.0,395.0,440.0,500.0,60.0,420.0,260.0,340.0,51.0,0.0,0.0,76.4,45.0,407.2,307.0,373.0,267.75,0.0,Minimal Chance
58.0,0.0,410.0,535.0,600.0,48.0,0.0,190.0,415.0,365.0,33.0,0.0,715.0,705.0,720.0,70.0,367.0,300.0,380.0,48.0,0.0,22.0,75.3,47.0,318.6,200.6,442.0,273.75,11.0,Minimal Chance
70.0,530.0,455.0,0.0,0.0,63.0,440.0,250.0,0.0,0.0,0.0,460.0,440.0,0.0,0.0,39.0,420.0,0.0,0.0,36.0,0.0,64.0,77.5,47.0,209.6,138.0,187.8,114.0,32.0,Minimal Chance
67.0,520.0,380.0,470.0,545.0,70.0,370.0,350.0,365.0,315.0,54.0,345.0,310.0,340.0,395.0,42.0,633.0,260.0,180.0,46.0,0.0,9.0,75.5,48.0,397.0,290.8,286.4,279.75,4.5,Minimal Chance
78.0,500.0,475.0,-1.0,-1.0,56.0,355.0,365.0,-1.0,-1.0,46.0,480.0,410.0,410.0,405.0,36.0,313.0,300.0,420.0,36.0,0.0,67.0,76.5,42.0,205.8,152.8,348.2,267.25,33.5,Minimal Chance
45.0,380.0,330.0,280.0,365.0,45.0,275.0,200.0,320.0,330.0,29.0,355.0,440.0,490.0,370.0,34.0,367.0,220.0,220.0,23.0,0.0,0.0,72.7,43.0,280.0,230.8,337.8,207.5,0.0,Minimal Chance
57.0,0.0,340.0,495.0,465.0,58.0,0.0,310.0,430.0,350.0,0.0,0.0,350.0,360.0,350.0,35.0,420.0,220.0,220.0,43.0,0.0,9.0,77.2,47.0,271.6,218.0,219.0,225.75,4.5,Minimal Chance
78.0,0.0,505.0,460.0,460.0,69.0,0.0,460.0,430.0,420.0,42.0,0.0,405.0,415.0,455.0,49.0,473.0,460.0,500.0,51.0,0.0,0.0,84.5,47.0,298.8,270.4,264.8,371.0,0.0,Minimal Chance
54.0,510.0,430.0,0.0,0.0,55.0,420.0,535.0,0.0,0.0,45.0,415.0,450.0,0.0,0.0,48.0,313.0,0.0,0.0,38.0,0.0,0.0,77.5,45.0,199.0,200.0,182.6,87.75,0.0,Minimal Chance
22.0,0.0,320.0,450.0,0.0,48.0,0.0,470.0,480.0,0.0,39.0,0.0,415.0,410.0,0.0,56.0,367.0,380.0,0.0,45.0,0.0,14.0,70.4,45.0,163.6,197.8,176.2,198.0,7.0,Minimal Chance
32.0,500.0,360.0,355.0,0.0,0.0,315.0,285.0,385.0,0.0,0.0,450.0,410.0,455.0,0.0,37.0,473.0,380.0,0.0,39.0,0.0,9.0,74.3,44.0,243.0,197.0,270.4,223.0,4.5,Minimal Chance
